Acc,Fault Type,RUL
-0.00016696,0,19675
-7.22E-05,0,19674
-0.00032715,0,19673
-0.00018891,0,19672
-0.00022818,0,19671
-0.00017515,0,19670
-0.00011674,0,19669
-4.71E-05,0,19668
-7.19E-05,0,19667
1.09E-06,0,19666
0.00010724,0,19665
0.00033076,0,19664
0.00034063,0,19663
0.00024155,0,19662
0.00046927,0,19661
0.00050048,0,19660
0.00031564,0,19659
0.00048553,0,19658
0.0007229,0,19657
0.00046746,0,19656
0.0002998,0,19655
0.00018099,0,19654
0.00026238,0,19653
0.00012136,0,19652
0.00010947,0,19651
-7.83E-06,0,19650
-0.00017048,0,19649
-8.48E-05,0,19648
-0.00027204,0,19647
-0.00040746,0,19646
-0.00059944,0,19645
-0.00039056,0,19644
-0.00035623,0,19643
-0.00017289,0,19642
-0.00040593,0,19641
-0.0004472,0,19640
-0.00040682,0,19639
-0.0004544,0,19638
-0.00013796,0,19637
-4.04E-05,0,19636
-0.00021229,0,19635
-9.93E-05,0,19634
-5.33E-05,0,19633
0.0001135,0,19632
0.00029192,0,19631
0.00036817,0,19630
0.00025518,0,19629
-7.96E-07,0,19628
6.07E-05,0,19627
0.00025386,0,19626
0.00033113,0,19625
0.00028423,0,19624
0.00028841,0,19623
0.00038627,0,19622
9.04E-05,0,19621
9.30E-05,0,19620
0.00012509,0,19619
0.00018685,0,19618
-5.44E-05,0,19617
-0.00011677,0,19616
-0.00017024,0,19615
-0.00019479,0,19614
-0.00010732,0,19613
-0.00024304,0,19612
-0.00016685,0,19611
4.59E-05,0,19610
-0.00027933,0,19609
-0.00028596,0,19608
2.06E-05,0,19607
-0.00016118,0,19606
-0.00030195,0,19605
3.98E-05,0,19604
-0.00012744,0,19603
-2.64E-05,0,19602
-4.43E-06,0,19601
7.69E-06,0,19600
0.0001656,0,19599
0.00011617,0,19598
0.00018995,0,19597
8.41E-05,0,19596
-1.66E-05,0,19595
2.75E-05,0,19594
0.00029976,0,19593
4.32E-05,0,19592
7.58E-05,0,19591
-0.00018639,0,19590
-0.00011352,0,19589
0.00015596,0,19588
9.50E-06,0,19587
2.64E-05,0,19586
0.00010776,0,19585
-2.92E-05,0,19584
0.00012874,0,19583
-1.28E-05,0,19582
0.00017212,0,19581
0.00010705,0,19580
0.00014292,0,19579
7.51E-05,0,19578
0.00026627,0,19577
0.00028209,0,19576
0.00015903,0,19575
0.00011488,0,19574
0.00026801,0,19573
0.00012032,0,19572
-8.64E-05,0,19571
0.00011512,0,19570
1.59E-05,0,19569
-9.42E-05,0,19568
-0.00030241,0,19567
-4.06E-06,0,19566
-0.00022982,0,19565
-0.00023855,0,19564
-0.00025019,0,19563
-0.00019165,0,19562
-0.00036169,0,19561
-0.00028487,0,19560
-0.00034931,0,19559
-0.00016054,0,19558
-0.00024516,0,19557
-0.00021521,0,19556
-2.64E-05,0,19555
-0.00010033,0,19554
-0.00016057,0,19553
-5.54E-05,0,19552
-4.20E-05,0,19551
7.21E-05,0,19550
0.00026433,0,19549
0.00012394,0,19548
0.00028515,0,19547
0.0002652,0,19546
0.00017637,0,19545
0.00030966,0,19544
0.00034618,0,19543
0.00015658,0,19542
0.00025086,0,19541
0.00017566,0,19540
8.44E-05,0,19539
0.00014556,0,19538
8.09E-05,0,19537
0.00030336,0,19536
8.14E-05,0,19535
5.46E-05,0,19534
-3.86E-05,0,19533
-0.0002576,0,19532
-0.00027528,0,19531
-0.00025498,0,19530
-0.0002902,0,19529
-0.00044269,0,19528
-0.00036833,0,19527
-0.00021128,0,19526
-0.00046537,0,19525
-0.00023331,0,19524
-0.0001264,0,19523
-0.00041945,0,19522
-0.00032386,0,19521
-0.00019167,0,19520
6.82E-05,0,19519
-0.0001876,0,19518
4.09E-05,0,19517
0.00017661,0,19516
0.00023238,0,19515
0.00025343,0,19514
0.00045659,0,19513
0.00010179,0,19512
0.00050449,0,19511
0.00023214,0,19510
0.00050553,0,19509
0.00027498,0,19508
0.00011574,0,19507
0.00021688,0,19506
0.00023859,0,19505
0.00013725,0,19504
-0.00013107,0,19503
7.86E-05,0,19502
-0.00020592,0,19501
-0.00028439,0,19500
-0.00024264,0,19499
-9.02E-05,0,19498
-0.00030001,0,19497
-0.0003988,0,19496
-0.00027509,0,19495
-0.00039634,0,19494
-0.00043826,0,19493
-0.00050971,0,19492
-0.00017685,0,19491
-0.00015923,0,19490
5.83E-05,0,19489
-2.25E-06,0,19488
-2.58E-05,0,19487
