Acc,Fault Type,RUL
21.175,1,0
-13.522,1,0
1.2774,1,0
1.2939,1,0
-28.958,1,0
-3.9177,1,0
-3.7233,1,0
1.0884,1,0
9.3817,1,0
-0.4672,1,0
1.3676,1,0
27.071,1,0
11.18,1,0
-3.5635,1,0
-12.275,1,0
-11.309,1,0
9.6074,1,0
6.1483,1,0
11.639,1,0
17.461,1,0
5.7164,1,0
-12.398,1,0
-19.034,1,0
3.679,1,0
3.6538,1,0
10.457,1,0
27.198,1,0
8.8841,1,0
11.413,1,0
-24.404,1,0
-25.783,1,0
-17.078,1,0
-5.2649,1,0
10.33,1,0
11.961,1,0
1.4943,1,0
12.624,1,0
-2.8998,1,0
-11.789,1,0
-4.9268,1,0
2.8432,1,0
10.232,1,0
-1.0494,1,0
11.887,1,0
-5.0653,1,0
-9.0281,1,0
-7.3373,1,0
5.2257,1,0
-23.689,1,0
4.0705,1,0
-1.7649,1,0
7.201,1,0
6.6941,1,0
3.4899,1,0
-19.788,1,0
-2.7006,1,0
1.1916,1,0
2.7458,1,0
-1.6966,1,0
-8.8174,1,0
6.7704,1,0
-11.012,1,0
3.0713,1,0
-13.31,1,0
-3.7449,1,0
5.2962,1,0
0.9034,1,0
4.3492,1,0
-1.4773,1,0
0.95634,1,0
6.8691,1,0
-3.7722,1,0
-8.7194,1,0
0.23267,1,0
14.133,1,0
3.9593,1,0
4.5806,1,0
10.859,1,0
-3.5288,1,0
3.1197,1,0
-6.4481,1,0
-3.5131,1,0
-10.023,1,0
-11.693,1,0
-0.068368,1,0
-8.3721,1,0
0.50281,1,0
-4.169,1,0
-3.9018,1,0
2.0753,1,0
12.423,1,0
7.4693,1,0
4.938,1,0
12.034,1,0
3.7702,1,0
14.384,1,0
14.959,1,0
0.61185,1,0
-3.3254,1,0
6.8296,1,0
-5.9461,1,0
-13.639,1,0
4.6333,1,0
-0.67873,1,0
8.6467,1,0
8.2247,1,0
-0.3135,1,0
-0.59653,1,0
-5.1437,1,0
-17.894,1,0
-4.7679,1,0
-12.56,1,0
2.0146,1,0
23.79,1,0
-0.051922,1,0
18.143,1,0
7.0797,1,0
-19.819,1,0
-27.632,1,0
-7.0941,1,0
-3.6761,1,0
13.761,1,0
23.038,1,0
-3.3656,1,0
3.7935,1,0
-18.274,1,0
-32.638,1,0
-11.877,1,0
12.931,1,0
7.5641,1,0
10.307,1,0
7.876,1,0
2.9545,1,0
-15.969,1,0
-17.372,1,0
25.016,1,0
39.186,1,0
22.461,1,0
-9.2409,1,0
-19.538,1,0
12.889,1,0
5.8884,1,0
10.334,1,0
-7.733,1,0
-22,1,0
-16.375,1,0
-7.5538,1,0
11.424,1,0
35.058,1,0
10.084,1,0
-7.368,1,0
-16.541,1,0
-23.746,1,0
-9.5217,1,0
-2.0104,1,0
14.242,1,0
38.94,1,0
8.0924,1,0
-22.413,1,0
-30.778,1,0
-21.538,1,0
0.40197,1,0
9.5299,1,0
34.703,1,0
13.035,1,0
-8.9873,1,0
-51.685,1,0
-24.661,1,0
-19.159,1,0
19.536,1,0
14.983,1,0
20.027,1,0
-0.25214,1,0
-37.782,1,0
-29.661,1,0
-0.083728,1,0
23.459,1,0
36.613,1,0
21.942,1,0
6.5308,1,0
-16.782,1,0
-22.027,1,0
-25.795,1,0
12.434,1,0
38.612,1,0
26.306,1,0
7.103,1,0
-17.171,1,0
-23.904,1,0
-14.567,1,0
-1.5271,1,0
19.498,1,0
19.378,1,0
19.555,1,0
4.5818,1,0
-20.266,1,0
-10.737,1,0
-6.6077,1,0
11.553,1,0
11.852,1,0
14.44,1,0
3.7895,1,0
-4.2456,1,0
-17.925,1,0
-23.883,1,0
-10.692,1,0
4.2719,1,0
13.349,1,0
0.79279,1,0
-14.527,1,0
10.704,1,0
-16.829,1,0
2.2831,1,0
10.846,1,0
4.7274,1,0
-0.045357,1,0
16.651,1,0
-6.594,1,0
-11.287,1,0
-6.8193,1,0
-1.5328,1,0
-2.3705,1,0
5.5347,1,0
-0.63043,1,0
5.4633,1,0
0.39694,1,0
-3.7721,1,0
-3.7653,1,0
-10.839,1,0
-15.94,1,0
1.4831,1,0
0.095106,1,0
-5.354,1,0
4.241,1,0
-9.5094,1,0
-6.8185,1,0
-10.181,1,0
-9.4423,1,0
7.2464,1,0
7.5064,1,0
23.203,1,0
3.0914,1,0
-8.3083,1,0
-15.609,1,0
-10.674,1,0
-7.0526,1,0
20.654,1,0
14.643,1,0
9.8611,1,0
7.4691,1,0
-8.3006,1,0
-18.868,1,0
-7.2375,1,0
-10.153,1,0
14.775,1,0
13.487,1,0
-4.437,1,0
-30.415,1,0
-29.989,1,0
9.7476,1,0
35.878,1,0
31.252,1,0
-13.789,1,0
-14.216,1,0
-7.0703,1,0
9.1907,1,0
7.2421,1,0
9.376,1,0
-9.4888,1,0
-14.822,1,0
-13.191,1,0
-1.4006,1,0
14.955,1,0
18.282,1,0
0.90198,1,0
-8.4411,1,0
5.3397,1,0
-0.6222,1,0
-19.786,1,0
4.9979,1,0
15.187,1,0
3.32,1,0
16.088,1,0
-4.3471,1,0
-12.766,1,0
2.7456,1,0
-1.2685,1,0
19.675,1,0
0.26347,1,0
0.17713,1,0
-14.041,1,0
-14.262,1,0
-16.199,1,0
3.2221,1,0
14.986,1,0
11.619,1,0
-4.8486,1,0
-7.7074,1,0
5.3593,1,0
-5.2044,1,0
10.204,1,0
7.0487,1,0
-6.4725,1,0
2.8388,1,0
13.562,1,0
-0.093385,1,0
-24.395,1,0
-3.6078,1,0
4.0166,1,0
11.958,1,0
-7.0875,1,0
-13.684,1,0
-1.4579,1,0
-3.0188,1,0
-8.4812,1,0
-0.9727,1,0
9.2058,1,0
-10.676,1,0
-7.0296,1,0
-9.1766,1,0
1.8781,1,0
-3.7445,1,0
-1.7024,1,0
-2.3262,1,0
-7.3295,1,0
-0.52921,1,0
0.26361,1,0
3.8581,1,0
-9.1064,1,0
10.894,1,0
-6.8435,1,0
-5.3719,1,0
7.6753,1,0
-12.612,1,0
15.845,1,0
0.85921,1,0
-3.8712,1,0
9.2252,1,0
-14.126,1,0
-4.7404,1,0
10.311,1,0
8.6906,1,0
9.4375,1,0
13.158,1,0
-10.71,1,0
-8.5776,1,0
-21.321,1,0
15.5,1,0
18.495,1,0
12.983,1,0
1.8277,1,0
10.174,1,0
-3.073,1,0
-13.834,1,0
-13.997,1,0
-6.9933,1,0
10.424,1,0
8.5379,1,0
1.8554,1,0
-3.4717,1,0
-3.9037,1,0
-14.442,1,0
-8.9582,1,0
22.029,1,0
23.877,1,0
12.074,1,0
-11.724,1,0
-28.355,1,0
-27.912,1,0
-6.5411,1,0
11.468,1,0
20.059,1,0
12.839,1,0
5.9924,1,0
-3.817,1,0
-24.014,1,0
-16.86,1,0
4.5061,1,0
19.521,1,0
6.5543,1,0
4.7279,1,0
-6.6684,1,0
-30.921,1,0
-10.851,1,0
9.3831,1,0
1.3624,1,0
-4.2333,1,0
0.3433,1,0
11.539,1,0
-2.2466,1,0
-9.2488,1,0
3.1049,1,0
-7.5763,1,0
9.0599,1,0
8.6847,1,0
16.237,1,0
10.757,1,0
9.614,1,0
-10.951,1,0
-11.234,1,0
-9.5559,1,0
2.6917,1,0
12.594,1,0
24.089,1,0
8.721,1,0
-9.6566,1,0
-20.427,1,0
-34.967,1,0
-11.854,1,0
14.23,1,0
38.237,1,0
12.459,1,0
-19.721,1,0
-31.263,1,0
-25.369,1,0
5.9765,1,0
22.765,1,0
30.669,1,0
23.764,1,0
-11.784,1,0
-40.639,1,0
-37.363,1,0
-12.462,1,0
35.319,1,0
38.084,1,0
9.2332,1,0
0.45816,1,0
-35.334,1,0
-27.547,1,0
-19.5,1,0
3.0514,1,0
